policy,key,seed,source_condition,source_step,paired_step,target_obstacle_distance,relocated_obstacle_body_y,relocated_obstacle_half_width,reference_normal_margin,reference_wrong_history_margin,reference_margin_gap,found_rows,accepted,normal_success,normal_margin,wrong_history_margin,margin_gap,margin_gap_delta_vs_reference
m964_direction_target_a0_15,9982|perturbed|42|39,9982,perturbed,42,39,9.5,-1.2,0.7,0.075174154491783,0.0393208094407531,0.0358533450510298,1,True,True,0.0553948158870885,0.02276731484019079,0.03262750104689771,-0.003225844004132089
m964_direction_target_a0_15,10000|perturbed|41|32,10000,perturbed,41,32,10.5,-1.2,0.9,0.0050161496310765,0.0014393044718794,0.003576845159197,1,True,True,0.002871168311935346,0.0004637666006455099,0.002407401711289836,-0.001169443447907164
m964_direction_target_a0_15,10006|perturbed|37|40,10006,perturbed,37,40,12.5,-1.2,0.7,0.1003727975190202,0.0769199235577666,0.0234528739612536,1,True,True,0.10263749046922754,0.07976501771412225,0.02287247275510529,-0.0005804012061483114
m964_direction_target_a0_15,10000|perturbed|38|32,10000,perturbed,38,32,9.5,-1.2,0.7,0.0965907772850815,0.0932045950781028,0.0033861822069787,1,True,True,0.09455650022820339,0.0921986121077738,0.0023578881204295854,-0.0010282940865491146
m964_direction_target_a0_15,10033|perturbed|29|23,10033,perturbed,29,23,10.0,-1.2,0.7,0.2034605154066446,0.197222626621095,0.0062378887855496,1,True,True,0.19913683220758083,0.19377950017828294,0.00535733202929789,-0.0008805567562517099
m964_direction_target_a0_15,10012|perturbed|39|36,10012,perturbed,39,36,12.5,-0.8,1.4,0.2369755133069353,0.2332725531660848,0.0037029601408504,1,True,True,0.23732055108910055,0.23389066883025578,0.003429882258844774,-0.0002730778820056257
m964_direction_target_a0_15,9969|perturbed|40|40,9969,perturbed,40,40,12.0,-0.8,1.4,0.0956784811818063,0.0920842752843982,0.0035942058974081,1,True,True,0.12766989666407458,0.124445822673108,0.0032240739909665805,-0.0003701319064415196
m964_direction_target_a0_15,9969|perturbed|40|40,9969,perturbed,40,40,12.0,-0.8,1.3,0.1984476415859366,0.1949656636849788,0.0034819779009578,1,True,True,0.23006491379008054,0.22692447848611863,0.003140435303961908,-0.00034154259699589176
m964_direction_target_a0_15,9872|perturbed|21|18,9872,perturbed,21,18,12.0,-1.2,1.2,0.0021623914801365,-0.0053157644763204,0.0074781559564569,1,True,True,0.004269472380584727,-0.0033685765089885855,0.007638048889573312,0.00015989293311641228
m964_direction_target_a0_15,9863|perturbed|23|26,9863,perturbed,23,26,12.5,-1.0,0.7,0.0792707319439862,0.0740369785912569,0.0052337533527293,1,True,True,0.08163206043006466,0.07644554163080364,0.0051865187992610196,-4.723455346828005e-05
m964_direction_target_a0_15,9951|perturbed|32|32,9951,perturbed,32,32,9.5,-1.2,1.0,0.0965634837205002,0.0939439594994684,0.0026195242210318,1,False,True,0.09435040990269439,0.09242083408427071,0.0019295758184236789,-0.000689948402608121
m964_direction_target_a0_15,9951|perturbed|35|32,9951,perturbed,35,32,9.5,-1.2,1.0,0.0724866509094921,0.0689335186742547,0.0035531322352373,1,True,True,0.0709311847065992,0.0680670008468709,0.0028641838597283087,-0.0006889483755089915
m964_direction_target_a0_15,9939|perturbed|24|27,9939,perturbed,24,27,12.5,-0.8,1.4,0.2304414627401816,0.214707880328631,0.0157335824115505,1,True,True,0.22697223664326582,0.21118989116279208,0.015782345480473747,4.876306892324586e-05
m964_direction_target_a0_15,9919|perturbed|34|31,9919,perturbed,34,31,10.0,-0.8,1.4,0.082353802138078,0.0788851514039294,0.0034686507341485,1,True,True,0.08162424615009112,0.07840417936420874,0.0032200667858823806,-0.0002485839482661194
m964_direction_target_a0_15,9919|perturbed|34|31,9919,perturbed,34,31,10.0,-0.8,1.3,0.1823739175394649,0.1790391956314332,0.0033347219080317,1,True,True,0.18166070934372902,0.17856388506143883,0.0030968242822901892,-0.00023789762574151063
m964_direction_target_a0_15,9880|perturbed|35|35,9880,perturbed,35,35,12.5,-0.8,0.8,0.061465002869794,0.0542687640629431,0.0071962388068509,1,True,True,0.06081048560061886,0.0535987881499318,0.00721169745068706,1.5458643836160045e-05
m964_direction_target_a0_15,9872|perturbed|21|18,9872,perturbed,21,18,12.5,-0.8,1.3,0.0019941568862753,-0.0055261351010158,0.0075202919872912,1,True,True,0.004397695366215704,-0.0033030339732076364,0.00770072933942334,0.00018043735213213973
m964_direction_target_a0_15,9863|perturbed|29|26,9863,perturbed,29,26,12.5,-1.0,0.8,0.0182323023794637,0.0139481039063005,0.0042841984731631,1,True,True,0.022043394500473656,0.017914139935995,0.004129254564478657,-0.00015494390868444306
m964_direction_target_a0_15,9958|perturbed|45|39,9958,perturbed,45,39,12.5,-1.2,1.4,0.1708610861034531,0.1638720018639077,0.0069890842395454,1,True,True,0.17043125104266466,0.163303794731116,0.007127456311548652,0.00013837207200325264
