policy,obstacle_label,mu_bucket,mass_bucket,brake_bucket,steering_tau_bucket,episodes,return_mean,success_rate,termination_rate,lateral_rmse_mean,lateral_peak_mean,beta_abs_error_mean,beta_abs_peak_mean,high_sideslip_fraction_mean,speed_mean,action_rate_mean,collision_rate,obstacle_completion_rate,min_obstacle_clearance_mean,plan_horizon_mean,plan_action_rate_mean,mu_min,mu_max,obstacle_collision_radius_mean,min_clearance_margin_mean,min_clearance_margin_min
heuristic,drift_required,medium,nominal,weak,slow,1,91.61194088959913,1.0,0.0,0.12172029999017345,0.18379445041822606,0.21564337422328056,0.04165929348883717,0.0,12.30492019296091,0.020918214693665504,0.0,1.0,1.940214155568363,1.0,,0.7370294740550716,0.7370294740550716,1.9275293698951947,0.01268478567316822,0.01268478567316822
heuristic,drift_required,medium,nominal,strong,slow,1,24.015883864093006,0.0,1.0,0.44616370856907667,0.9415897295179718,0.10357366132260372,0.01657875892535035,0.0,14.20606240713839,0.004681633319705725,1.0,0.0,1.6575329684815476,1.0,,0.5083786824002648,0.5083786824002648,1.8076510728443016,-0.15011810436275397,-0.15011810436275397
heuristic,drift_required,medium,heavy,weak,slow,1,16.782495984482278,0.0,1.0,0.6307181510596988,1.2426386254022148,0.08691173757403604,0.017537669880369203,0.0,15.32926384902961,0.004165737424045801,1.0,0.0,1.3692213438524115,1.0,,0.6983525561487404,0.6983525561487404,1.6599741796546992,-0.2907528358022877,-0.2907528358022877
heuristic,drift_required,medium,heavy,strong,nominal,2,46.77212875643696,0.5,0.5,0.21727449250693198,0.3526898026326748,0.21681726477431829,0.03240851652470707,0.0,14.572211166825841,0.01467795018106699,0.5,0.5,1.9654861866667073,1.0,,0.6320421410615533,0.7920644401668309,1.7550936338805896,0.21039255278611757,-0.02694971294840598
heuristic,drift_required,medium,heavy,strong,slow,1,19.944971566348983,0.0,1.0,0.8432707875281287,1.5276853523997787,0.15046723011164997,0.013010569292993898,0.0,14.512465451136029,0.0029464405961334705,1.0,0.0,1.7016837920677552,1.0,,0.693508278743453,0.693508278743453,1.8541651058258188,-0.15248131375806362,-0.15248131375806362
heuristic,drift_required,high,light,weak,nominal,1,20.746190744535376,0.0,1.0,0.5235453110436157,0.7268771551214996,0.270671425754829,0.05929505618881748,0.0,12.475318313553545,0.002879910869523883,1.0,0.0,1.7504191042543082,1.0,,1.1343545674698263,1.1343545674698263,1.777326913470966,-0.026907809216657697,-0.026907809216657697
heuristic,drift_required,high,light,weak,slow,2,103.4569579391316,1.0,0.0,0.23434603727565287,0.4393587827630405,0.1477524333768778,0.05611775627201086,0.0,13.698883189378698,0.01091745588928461,0.0,1.0,2.9027950371015265,1.0,,0.950977398240298,1.0710698042720597,1.4088635068004915,1.493931530301035,0.42548795566519493
heuristic,drift_required,high,light,strong,slow,3,75.53123283032637,0.6666666666666666,0.3333333333333333,0.730575159652886,1.3080525102189735,0.21163007578615836,0.04019529191242737,0.0,12.70622682061852,0.008517281074697772,0.3333333333333333,0.6666666666666666,1.9697526426174015,1.0,,0.8130812321303102,0.9693457896576536,1.6463381549635105,0.3234144876538909,-0.027871094914033057
heuristic,drift_required,high,nominal,weak,slow,1,31.918971747984898,0.0,1.0,1.579639652206167,3.1286324912633887,0.2565225801315915,0.06335007481953686,0.0,15.317285630045149,0.009826934896409512,1.0,0.0,1.7469877668015668,1.0,,1.0088775535776806,1.0088775535776806,1.930732521404365,-0.18374475460279815,-0.18374475460279815
heuristic,drift_required,high,nominal,strong,nominal,1,48.74867227176824,0.0,1.0,0.5593857319115623,1.294504438184724,0.09659724638611168,0.011016251614150941,0.0,12.573430779567284,0.0027857371605932713,1.0,0.0,1.8477405239585283,1.0,,1.1165422124426494,1.1165422124426494,1.9340852542221487,-0.08634473026362044,-0.08634473026362044
