task_source_id,profile_name,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,success_profile_count,profiles_with_success,success_source_count,sources_with_success,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
m2063-osd-osd_v0_0163_t3,L3_reset_control_corrected,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.11357073606292056,-8.229162274367674,23.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0164_t3,L0_current_masked,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.11408717353941711,17.95539423041385,50.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0164_t3,L1_one_step,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.06203006098275221,30.539845307876753,69.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0164_t3,L2_window_50,outcome_by_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,0.693253653230637,35.92628208298146,57.0,0,,0,,True,0,0,1,1,0,0
m2063-osd-osd_v0_0164_t3,L3_online_gru,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.10163199158999348,24.48326870802584,55.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0164_t3,L3_reset_control_corrected,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.11557231838212934,30.509895091333572,64.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0165_t3,L0_current_masked,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.02314625749807009,-26.805860749278594,6.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0165_t3,L1_one_step,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.002466491443305019,-21.079226509385403,11.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0165_t3,L2_window_50,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.07909012420550221,-11.894402057858755,17.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0165_t3,L3_online_gru,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.1537696828373305,-14.70811219925454,17.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0165_t3,L3_reset_control_corrected,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.10334284283758133,-20.170611901719298,12.0,0,,0,,True,0,1,0,0,1,0
